trial star/dMass star/dRadius b/dMass b/dRadius b/dEcc b/dOrbPeriod b/dTidalQ c/dMass c/dRadius c/dEcc c/dOrbPeriod c/dTidalQ d/dMass d/dRadius d/dEcc d/dOrbPeriod d/dTidalQ 
rand_10 0.127621 -19.754564 -1.569650 -1.250329 0.044032 -0.980060 911.509891 -6.159174 -2.455369 0.045367 -5.143336 55874.574767 -1.221254 -1.033994 0.070790 -2.793386 321.507050 
rand_11 0.139824 -19.921333 -2.276029 -1.353985 0.147550 -0.971119 292.175244 -6.468674 -2.521889 0.220404 -5.058060 91161.604720 -0.977691 -1.105098 0.119411 -2.718828 151.639513 
rand_12 0.143278 -20.646298 -2.533888 -1.232251 0.248380 -0.975366 575.372074 -7.501181 -2.416098 0.101320 -5.147141 89207.483896 -1.549140 -1.090350 0.137610 -2.764281 607.103846 
rand_13 0.134157 -18.189523 -2.495862 -1.153349 0.067810 -0.935932 109.457268 -6.330309 -2.383341 0.153033 -4.950512 7206.421742 -1.087398 -0.919386 0.147210 -2.756881 278.422439 
rand_14 0.147380 -20.738979 -2.118225 -1.224562 0.162165 -0.951665 307.392138 -6.472280 -2.408926 0.079011 -5.100247 29851.581526 0.098159 -1.104730 0.099353 -2.749337 845.143729 
rand_15 0.144574 -19.849789 -2.321654 -1.184831 0.181583 -1.003653 914.299374 -7.199951 -2.373257 0.176142 -4.982271 33621.566133 -0.436450 -1.043149 0.202504 -2.757519 952.854565 
rand_16 0.137498 -19.678417 -1.313396 -1.368648 0.187580 -0.989278 483.949223 -7.581634 -2.572298 0.110668 -4.934023 60778.183847 -0.618175 -0.970704 0.014609 -2.766732 725.458256 
rand_17 0.138835 -19.092090 -2.447253 -1.214375 0.280825 -0.983658 51.303491 -4.899066 -2.398248 0.193030 -5.133866 78233.339073 -0.765132 -1.028527 0.143390 -2.812029 42.238076 
rand_18 0.129443 -19.847815 -1.824524 -1.160258 0.207427 -0.993828 773.705032 -8.083665 -2.409337 0.209092 -5.139811 86132.946844 -1.108978 -0.996707 0.023133 -2.789739 259.991564 
rand_19 0.129700 -19.913915 -1.806226 -1.210131 0.055332 -0.973190 926.074165 -7.346492 -2.540857 0.144012 -5.086589 52519.100087 -0.391972 -0.960872 0.102521 -2.770746 319.453195 
rand_20 0.138419 -20.859385 -2.344962 -1.192352 0.103648 -0.982260 143.677309 -6.720318 -2.526329 0.023299 -5.304290 21784.128633 -1.113004 -1.000302 0.307998 -2.796969 113.841686 
rand_21 0.135864 -19.692244 -1.562224 -1.214827 0.108638 -1.016964 799.580803 -6.488041 -2.385323 0.107627 -5.087692 80926.638841 -1.170863 -1.064217 0.226052 -2.776592 152.480672 
rand_22 0.140619 -19.507546 -1.541339 -1.172309 0.028775 -0.950218 813.468601 -7.272242 -2.519870 0.104456 -5.128341 53326.216256 -1.154666 -1.009458 0.136509 -2.784746 604.987142 
rand_23 0.143042 -20.369960 -2.138702 -1.212822 0.081345 -0.945967 573.716337 -6.230103 -2.538499 0.135060 -4.982985 39116.754291 -1.210627 -0.980617 0.305539 -2.796031 72.779539 
rand_24 0.138279 -19.693919 -1.878209 -1.123998 0.104976 -0.971702 40.256814 -6.632313 -2.389313 0.230829 -5.199690 88450.760244 -0.719904 -1.091685 0.037469 -2.806909 992.982250 
rand_25 0.147146 -20.454495 -2.246695 -1.287262 0.175645 -0.972039 972.148444 -7.189929 -2.403559 0.016722 -5.139376 25810.978350 -1.145610 -1.069064 0.044218 -2.771004 557.127019 
rand_26 0.142579 -19.081656 -1.574250 -1.190497 0.325219 -0.940123 192.027216 -7.343289 -2.385444 0.056243 -5.154414 2275.406704 -1.304439 -1.042382 0.127875 -2.765534 797.937516 
rand_27 0.132824 -20.221436 -1.800217 -1.229841 0.136712 -0.961876 993.477036 -7.936436 -2.516704 0.252125 -5.225290 37087.745914 -1.197324 -1.059517 0.123484 -2.749265 281.228770 
rand_28 0.143742 -21.267322 -2.084398 -1.242003 0.027797 -0.971481 996.043342 -7.578697 -2.572627 0.055111 -5.337362 6882.615781 -0.648512 -1.016380 0.178305 -2.757559 321.310504 
rand_29 0.134434 -20.858607 -2.001763 -1.242155 0.143198 -0.985547 436.329507 -5.948359 -2.532484 0.178040 -5.202429 30384.244823 -1.207659 -1.059875 0.173896 -2.767243 126.382216 
rand_30 0.146272 -19.119773 -2.437733 -1.226901 0.173522 -0.994715 184.472648 -7.696305 -2.434272 0.091763 -5.149590 85121.528876 -0.326345 -1.019395 0.126260 -2.754667 564.985669 
rand_31 0.142037 -19.729087 -2.329038 -1.186360 0.282464 -0.969507 532.595349 -8.328336 -2.393078 0.055268 -5.145744 86224.604975 -0.109659 -1.017299 0.298979 -2.746261 577.260183 
rand_32 0.135186 -20.899859 -2.389501 -1.239652 0.002509 -0.949569 282.267215 -7.984788 -2.463752 0.182282 -5.167015 36257.797216 -1.613381 -0.958264 0.086474 -2.772609 722.314703 
rand_33 0.134768 -19.859261 -1.569249 -1.239282 0.134307 -1.011747 887.644027 -6.625056 -2.446029 0.211658 -5.145735 45517.724738 -0.503150 -1.008121 0.139964 -2.782791 518.723282 
rand_34 0.131059 -19.658849 -1.845952 -1.237922 0.148068 -0.966131 222.192496 -7.087357 -2.515423 0.172438 -5.143453 20285.064419 0.199357 -1.039794 0.123508 -2.750887 885.080959 
rand_35 0.143003 -18.614940 -1.883463 -1.217901 0.217972 -0.992025 167.212214 -7.462595 -2.295454 0.124309 -4.992349 22138.408677 -0.383959 -1.117803 0.045819 -2.788863 190.948499 
rand_36 0.144036 -20.189151 -1.674444 -1.221834 0.124141 -0.966926 797.019210 -7.655903 -2.427072 0.095842 -5.029327 13449.313377 -0.996339 -1.078574 0.187490 -2.736865 782.000788 
rand_37 0.146672 -19.729573 -1.891459 -1.149593 0.138005 -0.950265 392.924673 -6.882133 -2.417988 0.149120 -5.240118 56265.400623 -1.206780 -0.957497 0.207112 -2.775291 938.087667 
rand_38 0.132430 -20.066910 -1.714276 -1.166258 0.210596 -0.974156 800.917769 -6.811789 -2.470471 0.110525 -5.132141 41855.621138 -0.587314 -1.090585 0.054650 -2.771681 732.503646 
rand_39 0.137875 -19.155756 -1.807968 -1.165072 0.160202 -1.002907 989.386377 -8.120532 -2.482564 0.093939 -5.125384 98077.055503 -1.476540 -1.010176 0.101016 -2.757567 818.866799 
rand_40 0.138939 -17.364500 -2.466426 -1.191709 0.057967 -1.031350 569.288038 -7.401867 -2.484725 0.118811 -5.064256 12232.111921 -1.659060 -1.055541 0.161529 -2.758060 385.704104 
rand_41 0.129543 -19.163603 -1.799994 -1.230462 0.182876 -0.961379 360.077958 -5.900165 -2.475913 0.025476 -5.282526 35670.340968 -0.424557 -1.003869 0.218931 -2.762234 704.536069 
rand_42 0.137492 -20.220343 -2.206504 -1.240357 0.060554 -0.983484 730.609649 -6.756739 -2.282362 0.041349 -5.048006 87234.509464 -0.669285 -1.112097 0.268182 -2.789634 338.483648 
rand_43 0.136759 -20.152512 -1.715220 -1.208724 0.134478 -1.002459 996.745401 -7.496708 -2.485407 0.123741 -5.045914 67004.467667 -1.877259 -1.030618 0.218688 -2.770050 417.001969 
rand_44 0.136337 -20.590460 -1.447520 -1.224013 0.209689 -0.957670 308.698190 -7.113229 -2.382385 0.164999 -5.167679 18664.126439 -1.403568 -1.023861 0.029860 -2.775523 668.836919 
rand_45 0.136020 -19.839794 -2.560371 -1.132673 0.049968 -0.961625 995.295134 -7.221899 -2.467877 0.121146 -5.245382 68287.257213 -0.331555 -0.995801 0.174853 -2.743447 381.870673 
rand_46 0.137431 -20.015318 -1.886324 -1.205389 0.122258 -0.951884 814.457499 -7.583718 -2.280170 0.098999 -5.018397 91829.105876 -1.262960 -1.035510 0.233510 -2.787810 880.768863 
rand_47 0.133954 -19.693884 -1.625199 -1.168391 0.160250 -0.968832 943.857248 -6.085734 -2.605290 0.127540 -5.051190 11332.563566 -0.664606 -1.000134 0.069666 -2.777964 804.518356 
rand_48 0.140855 -19.917905 -2.394412 -1.264024 0.172549 -0.974600 572.075823 -7.404323 -2.531351 0.082368 -5.172287 12549.377166 -1.712451 -1.054050 0.182007 -2.738092 50.447027 
rand_49 0.141320 -18.853525 -1.467179 -1.179163 0.126981 -0.952942 31.286873 -6.794777 -2.447735 0.061085 -4.998875 65193.484199 -1.310035 -1.010975 0.004118 -2.798660 145.298845 
rand_50 0.142463 -20.504301 -1.460671 -1.231055 0.070128 -0.971242 168.190339 -9.276138 -2.514770 0.008588 -5.149574 70449.148120 -0.856011 -0.969382 0.199184 -2.813234 998.204102 
rand_51 0.140136 -18.944791 -2.418130 -1.180819 0.119131 -0.975043 83.444217 -8.011722 -2.417818 0.190902 -5.119394 90950.887911 -0.341685 -0.966247 0.089528 -2.750937 208.788804 
rand_52 0.133018 -18.623388 -1.986596 -1.174757 0.238507 -0.980309 797.223930 -7.249149 -2.486059 0.025775 -5.134368 22031.800020 -1.187512 -1.012739 0.230727 -2.765123 285.581968 
rand_53 0.135137 -20.288525 -2.204383 -1.330529 0.177337 -0.946746 190.860442 -8.451645 -2.545481 0.156763 -5.271029 12250.239525 -0.432698 -1.076442 0.158029 -2.771891 138.563245 
rand_54 0.137783 -20.701426 -2.429370 -1.170529 0.040488 -0.992137 995.995858 -7.732581 -2.485887 0.269866 -5.280911 50449.966690 -0.795885 -1.088805 0.228995 -2.756558 837.469391 
rand_55 0.139688 -19.921740 -1.507173 -1.089375 0.118499 -0.962705 640.316815 -7.395209 -2.447066 0.237758 -5.202485 42442.037702 -0.903112 -0.997830 0.197541 -2.763388 501.434560 
rand_56 0.133872 -20.539749 -1.683709 -1.264269 0.153297 -0.986402 571.708695 -5.328600 -2.387148 0.236331 -5.142037 49646.605870 -0.494409 -1.027767 0.264752 -2.770563 205.689700 
rand_57 0.140139 -20.082005 -2.067311 -1.239857 0.228223 -0.975786 175.699520 -7.978062 -2.516533 0.036540 -5.148494 57970.497936 0.016401 -1.066458 0.117991 -2.782579 819.611933 
rand_58 0.122616 -20.163187 -2.543970 -1.229921 0.169744 -0.975126 671.596096 -6.504707 -2.354125 0.015571 -5.204555 14603.266612 -1.038347 -1.081222 0.053511 -2.762588 230.886142 
rand_59 0.136012 -20.029587 -2.266787 -1.184413 0.249823 -0.998364 363.165501 -6.216635 -2.474527 0.206819 -5.134953 4256.719857 0.015570 -1.106409 0.004057 -2.755715 919.961089 
rand_60 0.134311 -19.819474 -2.183997 -1.255319 0.194185 -1.014108 677.014726 -6.523338 -2.483490 0.206814 -4.996717 37044.208544 -0.976492 -1.087685 0.076634 -2.785335 518.256908 
rand_61 0.147524 -19.752091 -1.838652 -1.167585 0.068655 -0.976380 756.211511 -8.129780 -2.444634 0.171211 -5.166978 29449.387303 -0.662333 -1.003455 0.107224 -2.754504 262.781761 
rand_62 0.134529 -20.504104 -2.371876 -1.322042 0.239485 -1.004540 118.738029 -7.132368 -2.566703 0.119605 -5.135956 54140.819366 -1.218826 -1.079824 0.008928 -2.751029 465.117661 
rand_63 0.141105 -20.025789 -1.504540 -1.132446 0.127908 -0.968637 467.578696 -7.031933 -2.501340 0.330781 -5.132457 28003.490095 -0.504528 -1.051747 0.017506 -2.771041 287.262834 
rand_64 0.145033 -20.652929 -2.631843 -1.203974 0.161106 -0.968275 347.265624 -7.640798 -2.391397 0.203858 -5.262722 51794.333339 -1.039295 -1.109327 0.308296 -2.809060 674.953373 
rand_65 0.138549 -19.854857 -1.705513 -1.143834 0.026405 -0.960074 555.882604 -7.621012 -2.340524 0.249663 -4.996318 27804.245300 -1.456279 -1.019036 0.272026 -2.771423 458.508826 
rand_66 0.138547 -20.724579 -2.176935 -1.246330 0.130005 -1.005253 265.508387 -5.931673 -2.416231 0.189253 -5.194362 17389.541090 -0.690485 -0.950295 0.079031 -2.736597 869.947869 
rand_67 0.140554 -18.957136 -2.101165 -1.107224 0.201494 -1.001450 947.813578 -7.079716 -2.412205 0.250823 -5.203770 80128.429384 -1.964232 -1.101572 0.019696 -2.775279 599.607652 
rand_68 0.127479 -18.517966 -2.621106 -1.134885 0.388791 -0.995971 222.704226 -7.971225 -2.608960 0.092549 -5.111074 99270.028560 -0.136275 -1.025320 0.019747 -2.758631 429.523685 
rand_69 0.149696 -20.744350 -2.267565 -1.219782 0.131058 -0.961731 520.173668 -6.100243 -2.435541 0.169417 -5.203271 7626.998819 -1.504111 -1.116809 0.058905 -2.789284 261.338284 
rand_70 0.140771 -19.344670 -2.027423 -1.134312 0.134809 -0.944062 478.599092 -7.673615 -2.487548 0.100098 -5.071489 83920.062660 -1.748779 -0.992051 0.178993 -2.766697 109.592347 
rand_71 0.141259 -20.346065 -1.817113 -1.150049 0.076832 -0.994677 185.866678 -8.143071 -2.531743 0.125441 -5.181891 24919.794066 0.087302 -0.955540 0.145845 -2.777175 662.158964 
rand_72 0.140837 -18.680849 -2.465189 -1.238996 0.100102 -1.000466 364.181824 -6.119432 -2.130088 0.073817 -5.071900 21435.592422 -0.666272 -0.954465 0.072048 -2.745643 598.375553 
rand_73 0.143127 -19.365860 -1.714101 -1.164387 0.027369 -0.954350 694.487504 -6.759716 -2.361728 0.242683 -5.223834 92791.944886 -1.266933 -1.063629 0.134449 -2.803218 492.486300 
rand_74 0.131864 -19.653246 -2.267822 -1.082036 0.101056 -1.007405 438.393745 -6.030047 -2.349413 0.092120 -5.145222 36725.358688 -0.980973 -1.032117 0.144219 -2.759116 266.918871 
rand_75 0.137311 -19.289931 -2.241939 -1.233607 0.017397 -0.983331 270.007620 -7.093166 -2.407942 0.262266 -5.148569 35776.435046 -0.748845 -0.953037 0.133051 -2.732532 10.611301 
rand_76 0.135991 -20.998852 -1.773931 -1.330653 0.007816 -0.989809 243.567809 -6.814513 -2.309582 0.181664 -5.063504 38212.658657 -0.740956 -1.045650 0.059051 -2.777047 140.328690 
rand_77 0.141238 -19.177311 -2.197913 -1.256835 0.158272 -0.956313 104.359523 -7.064248 -2.287595 0.018930 -5.138162 7640.268389 -0.922885 -1.056653 0.175589 -2.782588 775.743247 
rand_78 0.142562 -20.535328 -1.929284 -1.199970 0.067368 -0.988474 226.954469 -7.498252 -2.689128 0.063913 -5.152586 50414.217714 -0.283714 -1.020882 0.012791 -2.761830 344.610319 
rand_79 0.143790 -20.791142 -2.704871 -1.294150 0.119992 -0.987928 66.246277 -7.641358 -2.504493 0.105168 -5.109574 98258.073867 -1.233205 -1.062934 0.090220 -2.779187 597.575476 
rand_80 0.134809 -19.411292 -2.054373 -1.185497 0.034729 -1.001300 166.159825 -7.327541 -2.418622 0.108281 -5.056497 45184.473220 -0.796434 -1.045847 0.101843 -2.788283 394.597042 
rand_81 0.143467 -18.767032 -1.558894 -1.197563 0.206325 -0.979000 827.961777 -7.759490 -2.322305 0.024199 -5.188294 50251.332914 -0.861396 -1.009852 0.253247 -2.769037 619.683038 
rand_82 0.132531 -19.488423 -2.847192 -1.199698 0.141819 -0.995276 133.858777 -7.379643 -2.603363 0.251002 -5.156624 64952.359166 -0.543058 -1.039296 0.204011 -2.739316 141.140858 
rand_83 0.141296 -20.759093 -2.171022 -1.159008 0.052102 -0.944210 978.634697 -6.158822 -2.368502 0.074228 -5.224510 99069.885350 -0.881231 -0.998232 0.244863 -2.778006 941.101222 
rand_84 0.139029 -19.874389 -2.281515 -1.260635 0.195201 -1.003207 314.834720 -7.547987 -2.444061 0.058867 -5.180598 84946.772767 -0.983265 -1.004418 0.032747 -2.782034 370.553306 
rand_85 0.137306 -18.636290 -2.386357 -1.207855 0.011103 -0.936551 666.696024 -6.754917 -2.452802 0.016349 -4.979032 92586.454968 -1.520176 -1.099847 0.119153 -2.770573 198.483748 
rand_86 0.150720 -20.109257 -1.350810 -1.167009 0.240347 -0.987973 817.450303 -8.029447 -2.542215 0.109891 -5.252242 65379.908028 -1.660024 -1.005415 0.017585 -2.781024 72.339016 
rand_87 0.143398 -19.060279 -2.504037 -1.247315 0.247257 -0.964212 686.188301 -7.046867 -2.441003 0.031372 -5.236575 92231.817150 -1.310375 -1.038709 0.049358 -2.815935 198.897912 
rand_88 0.138753 -20.674980 -1.726365 -1.338155 0.030600 -0.975820 619.244874 -7.111553 -2.431170 0.389502 -5.134294 13592.065188 0.215774 -1.064720 0.174435 -2.765774 55.663539 
rand_89 0.130900 -20.986954 -2.015423 -1.194231 0.156559 -0.998148 160.281665 -6.812607 -2.415914 0.079777 -5.147940 68317.282556 -0.419888 -1.061843 0.119909 -2.769492 394.179919 
rand_90 0.131436 -20.715374 -1.852148 -1.119739 0.004361 -0.990584 908.700178 -6.711199 -2.514241 0.181755 -5.159178 3989.466840 -0.992788 -1.001192 0.026693 -2.799601 334.489737 
rand_91 0.136635 -20.147212 -2.083646 -1.179744 0.106037 -0.993525 416.168352 -9.098019 -2.534661 0.147110 -4.995510 52392.665214 -0.113699 -1.034141 0.028484 -2.781119 434.016648 
rand_92 0.135943 -21.412599 -2.194380 -1.204119 0.296973 -0.988765 14.732986 -6.426289 -2.509663 0.056229 -5.062671 85160.321879 -0.412426 -1.007177 0.057573 -2.770567 845.303222 
rand_93 0.145385 -18.764465 -2.755139 -1.216268 0.117266 -0.970584 296.545801 -6.571341 -2.410987 0.059271 -5.155625 92398.490311 -0.450386 -0.989033 0.112803 -2.753298 62.785595 
rand_94 0.140394 -20.094398 -1.778158 -1.209165 0.093979 -0.967274 842.152620 -6.294865 -2.523280 0.080628 -5.133586 91475.220935 -1.031827 -1.032021 0.039195 -2.747989 90.349131 
rand_95 0.138869 -20.040602 -1.974511 -1.280895 0.359043 -0.981667 513.806148 -7.373874 -2.473806 0.098670 -5.179444 54286.764248 -0.169879 -1.061190 0.306238 -2.746791 284.388647 
rand_96 0.138814 -20.965988 -1.851997 -1.241125 0.139693 -0.961514 604.737029 -7.526509 -2.429657 0.011092 -5.134969 45218.688463 -0.884401 -1.059907 0.027072 -2.761523 752.411568 
rand_97 0.136236 -21.419957 -2.035614 -1.211327 0.105011 -0.999831 907.128658 -7.494338 -2.484950 0.180928 -5.148277 72291.770888 -1.216350 -1.081641 0.121359 -2.784994 26.827441 
rand_98 0.137229 -19.290133 -2.073603 -1.143068 0.247192 -0.997597 549.326863 -6.788698 -2.474638 0.127239 -5.243972 73026.070443 -0.546406 -1.010827 0.065119 -2.803614 503.164677 
rand_99 0.138441 -20.327096 -1.553958 -1.331815 0.123068 -0.967890 934.230691 -8.085005 -2.432559 0.151733 -5.122030 77079.366175 -1.153312 -1.077163 0.179866 -2.737643 916.856560 
