trial star/dMass star/dRadius b/dMass b/dRadius b/dOrbPeriod b/dEcc b/dInc b/dLongA b/dLongP c/dMass c/dRadius c/dOrbPeriod c/dEcc c/dInc c/dLongA c/dLongP d/dMass d/dRadius d/dOrbPeriod d/dEcc d/dInc d/dLongA d/dLongP 
rand_25 0.137737 -18.995391 -2.714337 -1.176783 -0.947999 0.005022 1.776044 61.087188 153.416617 -6.883511 -2.362841 -4.989915 0.013154 0.243726 11.749693 212.965868 -0.396054 -1.021356 -2.753438 0.020498 0.410263 121.371826 283.092890 
rand_26 0.142809 -17.994912 -1.823211 -1.163762 -0.948000 0.015830 1.806287 116.590784 342.953593 -6.890248 -2.389625 -4.989921 0.011153 0.292072 261.292653 134.604515 -0.557519 -1.036218 -2.753430 0.008250 0.801648 275.419050 107.321458 
rand_27 0.132760 -19.303462 -1.802038 -1.161069 -0.948001 0.002540 3.679432 6.139206 326.061489 -7.968466 -2.582293 -4.989913 0.000910 0.257263 243.221052 150.485004 -1.131717 -1.056191 -2.753417 0.009721 2.123341 56.736999 60.350920 
rand_28 0.136901 -20.654480 -1.494754 -1.255778 -0.948000 0.010195 1.191590 16.593463 247.612214 -6.901926 -2.335893 -4.989905 0.010360 0.110871 154.727068 203.381486 -1.233056 -1.045559 -2.753454 0.023456 0.970380 239.634619 244.172311 
rand_29 0.138874 -19.678269 -1.621871 -1.231360 -0.947997 0.015557 1.243230 71.796665 143.775866 -7.282226 -2.603824 -4.989904 0.012671 0.124111 61.467798 41.264106 -0.560701 -1.014990 -2.753443 0.013876 0.296089 280.653204 39.467192 
rand_30 0.139090 -19.015623 -2.279913 -1.169461 -0.947998 0.002321 1.429906 244.693521 346.416530 -7.098947 -2.445773 -4.989912 0.016137 0.002818 293.738191 207.941483 -0.252750 -1.043014 -2.753422 0.006579 0.627603 225.574116 87.513336 
rand_31 0.140541 -18.269438 -2.003490 -1.137057 -0.947999 0.004059 1.688273 40.460809 116.844455 -7.273886 -2.443853 -4.989904 0.014530 0.093034 192.994338 230.119521 -1.320323 -1.063845 -2.753418 0.000848 0.374781 236.018046 280.050430 
rand_32 0.134654 -18.580410 -2.196217 -1.270727 -0.947996 0.002947 1.577203 67.628389 67.253363 -7.519389 -2.361030 -4.989905 0.004129 0.185843 73.773015 234.396938 -0.638876 -1.040973 -2.753444 0.009322 0.887907 308.084532 302.993640 
rand_33 0.135150 -20.453034 -2.022764 -1.186548 -0.948004 0.017604 0.570186 139.591672 272.742401 -5.534108 -2.494297 -4.989910 0.024164 0.257130 66.323887 328.899872 -1.137938 -1.006232 -2.753443 0.023015 1.620556 36.769858 180.416267 
rand_34 0.133438 -19.244104 -1.704863 -1.272266 -0.947998 0.020026 3.766419 217.879173 83.966171 -7.720916 -2.425074 -4.989916 0.007219 0.392257 258.707035 69.580843 -0.224041 -0.966186 -2.753451 0.020240 0.777838 312.165325 194.595575 
rand_35 0.139821 -20.537342 -2.301488 -1.240697 -0.947999 0.023202 2.345078 324.099991 337.791102 -6.957887 -2.414498 -4.989913 0.006769 0.272473 342.722162 118.699921 -0.343752 -1.059673 -2.753431 0.012657 0.509750 1.793992 68.266297 
rand_36 0.129178 -19.692778 -1.536063 -1.204980 -0.947999 0.011785 1.554596 278.016098 209.015522 -7.355708 -2.398830 -4.989897 0.013003 0.235627 178.916063 299.945201 -0.693483 -0.953715 -2.753451 0.013707 0.224637 302.714646 344.472040 
rand_37 0.146236 -21.330714 -1.837941 -1.147079 -0.947996 0.016799 2.320056 11.603734 71.319878 -7.103077 -2.467042 -4.989907 0.015510 0.157285 174.620858 257.436741 -1.151662 -1.042990 -2.753422 0.009187 2.086436 338.548957 113.822889 
rand_38 0.137875 -18.839664 -1.979095 -1.195662 -0.948002 0.005464 2.607348 288.489267 348.050796 -8.684445 -2.401671 -4.989903 0.032775 0.186948 241.141732 263.719717 -0.306169 -1.059486 -2.753422 0.020224 0.124951 169.909329 338.023509 
rand_39 0.139143 -21.248228 -2.489020 -1.167619 -0.947994 0.001819 1.274400 154.218745 79.110241 -8.141317 -2.401298 -4.989920 0.011654 0.218129 310.644673 109.262981 -0.580298 -0.980675 -2.753426 0.008277 0.015031 312.755338 65.984365 
rand_40 0.142814 -19.867838 -1.769352 -1.199270 -0.948000 0.027730 0.923787 84.936122 26.062236 -6.917333 -2.533163 -4.989920 0.020925 0.553839 290.227224 253.935371 -0.385965 -1.009942 -2.753420 0.001139 0.746016 235.957346 206.952909 
rand_41 0.134726 -19.343452 -2.677949 -1.305385 -0.948001 0.011056 1.613474 305.984703 255.304376 -8.230741 -2.352650 -4.989909 0.001373 0.248245 83.458552 167.628180 -1.275289 -1.051581 -2.753442 0.013215 0.856622 26.171894 294.357799 
rand_42 0.137742 -18.583995 -1.910379 -1.168769 -0.947996 0.012786 1.498150 107.157552 311.227270 -6.288854 -2.397996 -4.989915 0.001325 0.181324 327.927881 172.987556 -1.408813 -1.014794 -2.753442 0.000992 1.783948 220.024089 214.232802 
rand_43 0.137237 -20.098257 -2.180428 -1.197930 -0.947999 0.012165 2.959417 10.732995 205.064542 -6.517741 -2.567511 -4.989922 0.003867 0.085559 150.547256 217.757527 -0.760683 -1.042552 -2.753439 0.011771 0.962814 110.075337 165.217866 
rand_44 0.140545 -18.787021 -1.744196 -1.225341 -0.947999 0.006371 1.144819 9.955837 155.319326 -6.571420 -2.642301 -4.989915 0.035124 0.268312 226.341047 239.984766 -0.906377 -1.045912 -2.753434 0.004092 1.107931 97.242187 297.013613 
rand_45 0.124777 -20.091726 -1.808399 -1.180695 -0.948001 0.007343 2.015268 321.159683 274.674415 -7.740498 -2.558885 -4.989892 0.026432 0.533145 230.777489 269.329255 -0.680680 -0.998362 -2.753442 0.022176 1.137033 359.719564 313.834361 
rand_46 0.138271 -19.827365 -1.594260 -1.253074 -0.948000 0.025447 1.602471 125.712465 46.453650 -7.018988 -2.493586 -4.989905 0.021204 0.510354 343.060546 292.799181 -0.765116 -1.099448 -2.753451 0.019712 0.131600 349.583156 248.317405 
rand_47 0.143935 -19.283365 -2.078215 -1.115991 -0.947994 0.008325 1.750589 59.971418 299.322064 -6.136334 -2.503545 -4.989895 0.005140 0.168361 357.516291 208.359604 -0.569523 -0.989589 -2.753426 0.009567 1.140420 238.522544 252.560878 
rand_48 0.133468 -19.329545 -2.603714 -1.137532 -0.947996 0.012462 2.580085 138.451087 274.166367 -6.985813 -2.380815 -4.989908 0.015685 0.159435 332.601920 260.686633 -1.057070 -0.994136 -2.753442 0.027164 0.284163 186.833044 2.122097 
rand_49 0.139471 -19.314764 -2.065050 -1.110082 -0.947997 0.015495 0.969359 129.321014 173.764896 -6.164878 -2.396021 -4.989917 0.003582 0.206150 134.014522 44.321632 -1.584326 -0.990904 -2.753429 0.011342 0.292719 208.245125 335.429775 
rand_50 0.142968 -21.050218 -2.021431 -1.053779 -0.947999 0.015361 0.962873 161.901540 269.063425 -6.281326 -2.458879 -4.989917 0.007092 0.160369 327.254292 165.127659 -0.634189 -1.006282 -2.753436 0.012202 0.386416 24.170342 283.610606 
rand_51 0.138581 -18.779909 -2.136711 -1.167151 -0.948001 0.002173 1.294052 266.963606 239.923355 -6.167457 -2.498447 -4.989909 0.014719 0.217800 173.923098 276.842959 -0.440420 -0.969696 -2.753447 0.016093 0.775237 343.675153 159.209641 
rand_52 0.141976 -18.590525 -2.551484 -1.336284 -0.947999 0.026122 1.914033 98.400694 232.568044 -6.591869 -2.460072 -4.989911 0.021810 0.117340 160.953446 289.894601 -1.408011 -0.987074 -2.753449 0.000545 0.375166 138.381412 249.114888 
rand_53 0.138705 -19.650635 -1.732302 -1.082089 -0.947994 0.013878 1.280708 91.854156 282.118685 -6.974768 -2.303007 -4.989911 0.009967 0.063830 224.483550 356.974683 -0.701810 -1.030092 -2.753471 0.006722 0.526222 74.970080 359.499882 
rand_54 0.138704 -19.141779 -2.061373 -1.273543 -0.947997 0.019423 0.286119 198.722177 194.423820 -7.316145 -2.523817 -4.989916 0.008938 0.162750 28.530946 354.672567 -1.233045 -1.115387 -2.753434 0.010288 0.807760 164.965153 78.944131 
rand_55 0.133756 -19.494332 -1.961864 -1.197282 -0.947997 0.004067 0.738029 213.592563 286.203067 -7.979319 -2.547755 -4.989914 0.018025 0.086156 67.855498 242.616134 -0.929442 -0.948727 -2.753446 0.031073 0.918554 71.475505 248.321294 
rand_56 0.132259 -19.894781 -1.924943 -1.297275 -0.947997 0.012651 2.048901 298.965311 121.870533 -5.768339 -2.510225 -4.989911 0.019298 0.229542 357.355758 141.818061 -1.580408 -1.064829 -2.753437 0.002202 0.345393 48.861337 138.719435 
rand_57 0.140117 -20.334496 -2.051816 -1.153941 -0.948000 0.012353 1.589109 159.697893 98.201934 -6.607000 -2.366922 -4.989924 0.019125 0.169390 4.936105 287.942320 -0.220506 -1.003924 -2.753454 0.016433 1.425937 316.742944 144.304421 
rand_58 0.139083 -20.490063 -2.180554 -1.291764 -0.947998 0.011340 0.678228 257.545936 321.157634 -7.093996 -2.424978 -4.989903 0.029961 0.299239 60.562623 278.833884 -0.635791 -1.149189 -2.753444 0.013991 1.603164 62.121622 317.366649 
rand_59 0.140057 -21.417365 -2.395999 -1.199825 -0.947999 0.023517 1.401426 23.699949 124.581504 -6.786362 -2.453319 -4.989914 0.030594 0.186263 152.265575 259.994550 -1.319797 -1.037204 -2.753443 0.011279 1.187197 223.067675 314.825505 
rand_60 0.134321 -18.857460 -1.348093 -1.230659 -0.947997 0.024879 1.088989 230.700460 123.151929 -7.101394 -2.373845 -4.989918 0.014049 0.208815 176.172739 334.677009 -0.610351 -1.034929 -2.753457 0.017734 0.450487 300.717186 70.514658 
rand_61 0.140450 -18.351330 -1.793092 -1.246707 -0.947998 0.007635 2.502256 62.391700 176.415291 -6.658733 -2.447944 -4.989918 0.004569 0.113686 60.565076 174.145534 -0.603609 -0.972451 -2.753443 0.025130 1.361766 263.235086 71.186203 
rand_62 0.127656 -19.146387 -2.666494 -1.224299 -0.947997 0.004631 1.292174 62.068480 333.487637 -7.232808 -2.321464 -4.989907 0.015086 0.150517 139.219733 264.304716 -0.861434 -1.070403 -2.753432 0.004373 1.037976 262.609820 39.737090 
rand_63 0.134565 -19.682388 -1.687051 -1.239434 -0.947996 0.022651 2.190854 159.793365 6.219443 -6.578371 -2.331283 -4.989910 0.007694 0.220148 10.816554 230.134329 -0.892574 -1.044500 -2.753401 0.006539 0.113512 320.191707 91.586441 
rand_64 0.133951 -20.694238 -1.876980 -1.296427 -0.947999 0.011410 0.935263 54.077891 252.294124 -7.826808 -2.541924 -4.989912 0.010301 0.396424 205.747345 234.159885 -1.570188 -1.036892 -2.753426 0.024657 0.679429 24.177361 261.268523 
rand_65 0.141915 -19.387219 -1.864188 -1.137848 -0.947997 0.022559 0.868383 170.309087 20.570968 -6.095835 -2.426575 -4.989895 0.029740 0.246084 357.689299 236.206219 -1.234302 -1.038660 -2.753441 0.010826 0.155229 89.980234 317.380545 
rand_66 0.147505 -19.929237 -1.669593 -1.272543 -0.947999 0.025495 0.548580 41.043867 121.554063 -7.485849 -2.467855 -4.989911 0.005753 0.324767 144.927658 246.296091 -0.672394 -1.006740 -2.753415 0.012959 1.907182 134.804476 154.073441 
rand_67 0.137216 -18.494312 -1.968457 -1.184438 -0.947996 0.000987 2.717519 143.681342 159.094745 -6.179182 -2.279923 -4.989913 0.008553 0.429831 119.634320 221.909174 -0.752155 -1.064535 -2.753463 0.012094 0.694506 191.360235 40.854246 
rand_68 0.133993 -19.917123 -2.000020 -1.174019 -0.947992 0.001070 1.789906 119.793528 28.102524 -7.066231 -2.318827 -4.989916 0.001439 0.063800 56.293179 138.658099 -0.340940 -1.095307 -2.753445 0.017108 1.921784 135.601520 82.193089 
rand_69 0.127434 -20.031008 -1.863537 -1.234950 -0.948001 0.009668 2.011706 245.623923 104.385740 -5.871797 -2.446867 -4.989917 0.005180 0.067608 186.480776 353.928855 -1.144538 -1.057176 -2.753446 0.015282 1.363363 183.409488 85.805861 
rand_70 0.134519 -21.254259 -2.649664 -1.296042 -0.947998 0.001627 1.094991 62.407948 228.242441 -8.671331 -2.332658 -4.989900 0.006306 0.461170 308.510242 15.837398 -0.999926 -1.008371 -2.753424 0.016103 1.697377 92.431886 157.922189 
rand_71 0.132185 -19.482265 -1.611848 -1.213289 -0.948002 0.002477 2.345202 15.682227 33.693333 -7.161916 -2.348739 -4.989919 0.010149 0.395591 170.397720 300.202753 -0.575744 -1.004441 -2.753447 0.016442 0.895769 146.705507 358.772526 
rand_72 0.131970 -20.473709 -1.685642 -1.243721 -0.947996 0.017044 3.390809 328.722365 352.348653 -6.810548 -2.346755 -4.989919 0.019850 0.117937 203.721128 265.549132 -1.162296 -0.961861 -2.753456 0.014830 1.945381 328.972752 315.959227 
rand_73 0.132819 -19.434990 -1.822624 -1.165244 -0.947998 0.013726 1.058433 285.440124 313.088645 -5.699842 -2.374712 -4.989901 0.008392 0.308168 37.445965 95.044383 -1.074286 -1.031960 -2.753442 0.017457 0.993736 85.980494 341.982542 
rand_74 0.142432 -20.122212 -2.570284 -1.295966 -0.947998 0.006717 1.458015 94.981178 202.434989 -7.020627 -2.458694 -4.989911 0.010153 0.170221 43.691272 25.284632 -0.530656 -1.022955 -2.753418 0.009903 1.581893 62.916425 342.679154 
rand_75 0.141010 -18.513197 -1.548135 -1.209927 -0.948001 0.003485 4.895251 318.753417 112.628386 -7.974263 -2.547069 -4.989927 0.014135 0.141465 321.298647 152.521102 -1.616953 -1.033688 -2.753451 0.023250 0.258396 144.708699 122.732469 
rand_76 0.137736 -20.659290 -2.559625 -1.174022 -0.947995 0.009478 0.495327 207.818991 56.086268 -7.667777 -2.443628 -4.989918 0.016312 0.076961 121.660541 320.756704 -0.495457 -1.022654 -2.753433 0.006581 1.247156 230.366776 302.838152 
rand_77 0.137263 -19.945561 -1.740882 -1.276183 -0.947995 0.000808 1.752515 54.450040 96.321512 -6.500700 -2.391696 -4.989904 0.013510 0.359975 239.905699 175.703931 0.001892 -1.130851 -2.753454 0.007998 2.228217 84.127019 338.552277 
rand_78 0.132387 -19.105242 -2.005956 -1.201995 -0.948000 0.009272 2.377356 30.022139 347.164571 -6.021486 -2.464703 -4.989911 0.006510 0.049911 149.971625 189.803725 -0.011208 -0.993169 -2.753429 0.023901 0.408155 276.059548 356.757584 
rand_79 0.133481 -20.081201 -1.681823 -1.154133 -0.948003 0.014739 1.426057 314.249768 243.467406 -6.932668 -2.411595 -4.989913 0.005307 0.169944 173.791795 173.489112 -1.474431 -1.083424 -2.753454 0.009069 0.847405 178.981198 27.869959 
rand_80 0.141476 -19.276005 -2.382084 -1.098261 -0.948000 0.003304 0.034651 133.352634 247.999920 -7.415903 -2.346475 -4.989904 0.028865 0.317659 97.732333 123.283657 -0.938013 -1.076068 -2.753438 0.012468 0.002125 168.292924 218.700352 
rand_81 0.139982 -19.923641 -1.983250 -1.212063 -0.947996 0.009643 1.343000 232.088029 138.659749 -6.741235 -2.399696 -4.989908 0.019427 0.354615 250.782831 342.626528 -0.324543 -1.091531 -2.753440 0.000596 0.613614 43.057727 135.961257 
rand_82 0.133904 -19.418718 -1.839906 -1.222312 -0.947996 0.008271 2.153141 296.348892 134.297920 -6.813699 -2.456542 -4.989917 0.027264 0.346798 35.051625 243.907317 -0.638541 -1.046657 -2.753440 0.016883 2.023066 73.143347 21.653652 
rand_83 0.138572 -20.433297 -1.669237 -1.261831 -0.947998 0.015192 1.628527 73.452753 326.855492 -8.052352 -2.542878 -4.989904 0.008563 0.117326 73.867454 56.027421 -1.034118 -1.064550 -2.753433 0.001532 0.421777 135.105847 195.591030 
rand_84 0.130724 -18.684756 -2.402840 -1.242979 -0.947997 0.015482 0.750008 172.576659 170.687412 -8.156615 -2.223560 -4.989899 0.014786 0.302657 309.750132 236.166521 -1.094998 -1.059651 -2.753421 0.009451 0.989737 284.563452 176.056719 
rand_85 0.131745 -18.977521 -1.507923 -1.091798 -0.947995 0.005211 2.078662 52.684477 144.757179 -6.463006 -2.499603 -4.989907 0.012899 0.287876 7.998594 338.253639 -0.128251 -1.051917 -2.753429 0.002425 1.145444 110.634251 61.064322 
rand_86 0.141329 -19.176377 -2.074413 -1.211815 -0.947997 0.000959 1.761736 234.959958 353.760875 -7.488933 -2.397048 -4.989910 0.004607 0.346253 242.498467 222.532715 -1.518422 -0.989318 -2.753424 0.012834 2.408081 117.314878 287.294154 
rand_87 0.142345 -20.922644 -2.304214 -1.204670 -0.947998 0.030227 0.854376 217.539790 140.143989 -7.670490 -2.360998 -4.989913 0.007313 0.104016 263.094487 271.856100 -0.659303 -1.023381 -2.753442 0.015129 0.363386 233.346113 20.003304 
rand_88 0.135548 -21.449922 -1.659354 -1.175636 -0.948001 0.016784 2.089683 222.367232 273.048356 -6.050121 -2.552592 -4.989912 0.024407 0.110802 327.330028 69.393487 -1.590324 -1.031649 -2.753427 0.018475 1.017965 270.571023 139.340736 
rand_89 0.140467 -19.542919 -1.736904 -1.269765 -0.947995 0.008528 1.656643 341.438778 87.719053 -6.722463 -2.412580 -4.989911 0.011139 0.310106 29.955223 163.221091 -1.119584 -1.067661 -2.753441 0.011301 1.458605 294.572822 101.637388 
rand_90 0.138919 -19.206276 -2.025863 -1.160666 -0.947998 0.006678 1.499948 116.817205 195.796624 -6.623495 -2.465207 -4.989903 0.003273 0.190979 295.614971 135.003745 -1.148155 -1.044952 -2.753440 0.021599 0.859019 329.091761 228.836150 
rand_91 0.133399 -21.641279 -1.392047 -1.205109 -0.947999 0.022107 1.055852 8.163623 94.608091 -7.149641 -2.437728 -4.989899 0.022888 0.220185 319.004709 351.238134 -1.104149 -1.073941 -2.753439 0.004720 1.576201 191.748996 68.183167 
rand_92 0.142177 -19.931727 -1.701860 -1.214604 -0.948002 0.001842 1.678229 244.368359 346.540619 -7.583317 -2.397318 -4.989912 0.023566 0.249211 205.609415 99.842581 -1.255663 -1.022519 -2.753432 0.011281 3.004681 345.931034 321.825422 
rand_93 0.138346 -20.211171 -1.838877 -1.103169 -0.947992 0.023145 0.897377 323.914276 6.425801 -7.974617 -2.320748 -4.989912 0.008283 0.369196 232.841345 356.155455 -1.463391 -1.105100 -2.753454 0.011714 0.613816 117.452282 156.884188 
rand_94 0.141738 -19.448291 -2.623137 -1.261684 -0.948001 0.001350 1.227235 154.452608 264.803678 -7.695115 -2.517763 -4.989919 0.014505 0.218570 111.712372 110.820192 -0.302131 -1.044481 -2.753439 0.014995 0.420959 324.692705 163.611662 
rand_95 0.139168 -19.206660 -2.601528 -1.178647 -0.948000 0.011721 1.922484 57.582858 281.817374 -7.484406 -2.495262 -4.989911 0.003252 0.302949 295.162473 179.124358 -0.198582 -0.999262 -2.753407 0.002076 0.573063 162.104670 274.578401 
rand_96 0.137064 -21.098782 -1.978141 -1.165090 -0.947998 0.010406 2.555878 286.572207 87.531017 -7.292622 -2.432043 -4.989918 0.022328 0.356604 126.412040 358.574587 -1.228524 -1.074225 -2.753444 0.017590 0.705782 55.815109 157.451389 
rand_97 0.136747 -19.645843 -1.578916 -1.252371 -0.947998 0.011368 1.659778 96.108075 87.910899 -6.978489 -2.264104 -4.989914 0.012251 0.217225 348.532383 114.521906 -0.669257 -0.999499 -2.753436 0.017634 1.368361 302.968062 197.057693 
rand_98 0.137507 -18.621144 -1.578047 -1.136682 -0.947998 0.006815 1.424707 147.386843 100.157541 -7.601756 -2.232219 -4.989897 0.006550 0.231460 87.316862 354.313312 -0.801091 -0.975254 -2.753440 0.028045 0.747002 68.119778 14.199144 
rand_99 0.139918 -19.835826 -2.877800 -1.207290 -0.948001 0.013343 0.310127 283.974432 22.356368 -6.577978 -2.507225 -4.989913 0.014573 0.243219 209.774805 305.002847 -1.081533 -1.029871 -2.753435 0.021719 0.278405 244.846188 153.575494 
